('O', 'T', 'H', 'E', 'M', 'D', 'L', 'P', 'G') ('A', 'S', 'I', 'N', 'C', 'U', 'F', 'R', 'W') 3369482133
('A', 'T', 'H', 'E', 'C', 'D', 'F', 'W', 'U') ('O', 'S', 'I', 'N', 'R', 'G', 'P', 'L', 'M') 3330860215
('A', 'T', 'H', 'E', 'C', 'D', 'P', 'G', 'F') ('O', 'S', 'I', 'N', 'R', 'U', 'W', 'L', 'M') 3329465173
('A', 'O', 'E', 'S', 'D', 'U', 'F', 'C', 'G') ('R', 'T', 'I', 'N', 'W', 'H', 'P', 'L', 'M') 3329058798
('A', 'T', 'E', 'R', 'M', 'U', 'G', 'C', 'F') ('O', 'S', 'I', 'N', 'D', 'H', 'P', 'L', 'W') 3328681720
('O', 'S', 'E', 'R', 'D', 'U', 'G', 'C', 'L') ('A', 'T', 'I', 'N', 'W', 'H', 'P', 'M', 'F') 3327284536
('O', 'T', 'E', 'R', 'P', 'W', 'G', 'D', 'C') ('A', 'S', 'I', 'N', 'L', 'U', 'F', 'H', 'M') 3326445547
('A', 'T', 'E', 'S', 'P', 'U', 'F', 'C', 'G') ('O', 'R', 'I', 'N', 'L', 'D', 'W', 'H', 'M') 3325742095
('A', 'O', 'H', 'E', 'D', 'L', 'M', 'U', 'F') ('S', 'T', 'I', 'N', 'G', 'C', 'P', 'R', 'W') 3325073712
('O', 'T', 'E', 'R', 'M', 'P', 'G', 'D', 'C') ('A', 'S', 'I', 'N', 'L', 'U', 'W', 'H', 'F') 3325056978
('A', 'T', 'E', 'R', 'G', 'U', 'W', 'D', 'F') ('O', 'S', 'I', 'N', 'C', 'H', 'P', 'L', 'M') 3324303403
('A', 'T', 'H', 'E', 'P', 'L', 'F', 'G', 'U') ('O', 'S', 'I', 'N', 'D', 'C', 'M', 'R', 'W') 3324166496
('A', 'T', 'H', 'E', 'C', 'L', 'M', 'G', 'F') ('O', 'S', 'I', 'N', 'D', 'U', 'P', 'R', 'W') 3324136414
('A', 'T', 'H', 'E', 'M', 'D', 'C', 'G', 'F') ('O', 'S', 'I', 'N', 'L', 'U', 'P', 'R', 'W') 3323917870
('O', 'E', 'T', 'H', 'U', 'C', 'G', 'D', 'P') ('A', 'S', 'I', 'N', 'L', 'M', 'F', 'R', 'W') 3323562612
('O', 'T', 'E', 'R', 'G', 'U', 'W', 'L', 'C') ('A', 'S', 'I', 'N', 'D', 'P', 'F', 'H', 'M') 3323480838
('O', 'T', 'H', 'E', 'C', 'D', 'L', 'P', 'G') ('A', 'S', 'I', 'N', 'M', 'U', 'F', 'R', 'W') 3322549350
('A', 'T', 'H', 'E', 'C', 'L', 'F', 'W', 'U') ('O', 'S', 'I', 'N', 'D', 'G', 'P', 'R', 'M') 3322402463
('O', 'T', 'H', 'E', 'W', 'D', 'L', 'P', 'G') ('A', 'S', 'I', 'N', 'C', 'U', 'F', 'R', 'M') 3322296665
('S', 'T', 'E', 'R', 'M', 'W', 'G', 'L', 'C') ('A', 'O', 'I', 'N', 'D', 'U', 'P', 'H', 'F') 3322253283
('A', 'O', 'H', 'E', 'D', 'L', 'C', 'U', 'G') ('S', 'T', 'I', 'N', 'M', 'P', 'F', 'R', 'W') 3321859941
('E', 'S', 'T', 'H', 'D', 'C', 'G', 'L', 'F') ('O', 'A', 'I', 'N', 'U', 'R', 'W', 'M', 'P') 3321599062
('O', 'T', 'H', 'E', 'M', 'D', 'L', 'U', 'W') ('A', 'S', 'I', 'N', 'C', 'G', 'P', 'R', 'F') 3321396245
('O', 'T', 'E', 'R', 'W', 'F', 'G', 'L', 'C') ('A', 'S', 'I', 'N', 'D', 'U', 'P', 'M', 'H') 3321241988
('A', 'T', 'H', 'E', 'M', 'D', 'F', 'W', 'U') ('O', 'S', 'I', 'N', 'C', 'G', 'P', 'R', 'L') 3321205516
('A', 'O', 'H', 'E', 'D', 'L', 'M', 'U', 'G') ('T', 'S', 'I', 'N', 'C', 'F', 'P', 'R', 'W') 3321084088
('A', 'T', 'H', 'E', 'P', 'D', 'F', 'W', 'U') ('O', 'S', 'I', 'N', 'C', 'R', 'G', 'L', 'M') 3320971193
('O', 'T', 'E', 'S', 'M', 'W', 'G', 'D', 'C') ('A', 'R', 'I', 'N', 'L', 'U', 'F', 'H', 'P') 3320665034
('O', 'A', 'T', 'E', 'U', 'C', 'P', 'W', 'G') ('S', 'R', 'I', 'N', 'L', 'D', 'F', 'H', 'M') 3320579638
('O', 'T', 'E', 'R', 'M', 'P', 'G', 'L', 'C') ('A', 'S', 'I', 'N', 'D', 'U', 'W', 'H', 'F') 3320352911
('A', 'T', 'E', 'R', 'G', 'U', 'W', 'C', 'F') ('O', 'S', 'I', 'N', 'D', 'H', 'P', 'L', 'M') 3320025168
('O', 'E', 'S', 'T', 'F', 'D', 'G', 'C', 'P') ('A', 'R', 'I', 'N', 'L', 'U', 'W', 'H', 'M') 3319880869
('O', 'T', 'E', 'R', 'G', 'U', 'W', 'D', 'C') ('A', 'S', 'I', 'N', 'L', 'P', 'F', 'H', 'M') 3319396183
('O', 'E', 'T', 'H', 'U', 'C', 'P', 'L', 'G') ('A', 'S', 'I', 'N', 'D', 'M', 'F', 'R', 'W') 3319240723
('A', 'T', 'H', 'E', 'C', 'L', 'F', 'G', 'U') ('O', 'S', 'I', 'N', 'M', 'D', 'P', 'R', 'W') 3318658553
('A', 'O', 'E', 'S', 'D', 'U', 'G', 'C', 'P') ('R', 'T', 'I', 'N', 'W', 'H', 'F', 'L', 'M') 3318560066
('A', 'T', 'H', 'E', 'M', 'L', 'F', 'W', 'U') ('O', 'S', 'I', 'N', 'D', 'G', 'P', 'R', 'C') 3318439250
('A', 'T', 'H', 'E', 'P', 'L', 'M', 'U', 'F') ('O', 'S', 'I', 'N', 'D', 'G', 'C', 'R', 'W') 3318212098
('A', 'T', 'H', 'E', 'G', 'L', 'F', 'W', 'U') ('O', 'S', 'I', 'N', 'D', 'C', 'P', 'R', 'M') 3317439671
('A', 'O', 'E', 'R', 'D', 'U', 'G', 'C', 'F') ('S', 'T', 'I', 'N', 'W', 'H', 'P', 'L', 'M') 3316742318
('O', 'T', 'H', 'E', 'M', 'L', 'F', 'G', 'U') ('A', 'S', 'I', 'N', 'D', 'C', 'P', 'R', 'W') 3316549341
('E', 'S', 'T', 'H', 'D', 'C', 'M', 'L', 'F') ('A', 'O', 'I', 'N', 'G', 'U', 'P', 'R', 'W') 3316464924
('A', 'T', 'E', 'R', 'P', 'U', 'F', 'C', 'G') ('O', 'S', 'I', 'N', 'L', 'D', 'W', 'H', 'M') 3315975576
('O', 'T', 'H', 'E', 'P', 'L', 'D', 'W', 'U') ('A', 'S', 'I', 'N', 'C', 'G', 'F', 'R', 'M') 3315703929
('O', 'S', 'T', 'E', 'D', 'C', 'M', 'P', 'G') ('A', 'R', 'I', 'N', 'L', 'U', 'W', 'H', 'F') 3315643089
('A', 'T', 'E', 'S', 'M', 'U', 'F', 'C', 'G') ('O', 'R', 'I', 'N', 'L', 'D', 'W', 'H', 'P') 3314962507
('T', 'S', 'E', 'R', 'C', 'F', 'W', 'L', 'M') ('A', 'O', 'I', 'N', 'D', 'U', 'G', 'H', 'P') 3314924502
('O', 'S', 'T', 'E', 'C', 'L', 'W', 'P', 'G') ('A', 'R', 'I', 'N', 'D', 'U', 'F', 'H', 'M') 3314855607
('O', 'S', 'E', 'R', 'D', 'C', 'G', 'L', 'M') ('A', 'T', 'I', 'N', 'W', 'H', 'U', 'P', 'F') 3314730676
('A', 'T', 'E', 'R', 'M', 'U', 'W', 'L', 'G') ('O', 'S', 'I', 'N', 'D', 'C', 'P', 'H', 'F') 3314319751
('A', 'I', 'H', 'E', 'C', 'D', 'P', 'U', 'F') ('S', 'O', 'N', 'T', 'G', 'R', 'W', 'L', 'M') 3314287947
('T', 'S', 'E', 'R', 'C', 'P', 'G', 'L', 'M') ('A', 'O', 'I', 'N', 'D', 'U', 'W', 'H', 'F') 3314166991
('O', 'E', 'T', 'H', 'U', 'D', 'G', 'F', 'L') ('A', 'S', 'I', 'N', 'M', 'C', 'P', 'R', 'W') 3313791224
('A', 'T', 'H', 'E', 'M', 'D', 'C', 'U', 'G') ('O', 'S', 'I', 'N', 'L', 'F', 'P', 'R', 'W') 3313506837
('A', 'O', 'E', 'S', 'D', 'U', 'W', 'C', 'G') ('R', 'T', 'I', 'N', 'M', 'H', 'P', 'L', 'F') 3313255233
('A', 'T', 'E', 'R', 'P', 'U', 'W', 'D', 'F') ('O', 'S', 'I', 'N', 'L', 'G', 'C', 'H', 'M') 3313248657
('A', 'O', 'H', 'E', 'C', 'D', 'P', 'U', 'F') ('S', 'T', 'I', 'N', 'G', 'R', 'W', 'L', 'M') 3312955079
('A', 'T', 'E', 'R', 'P', 'U', 'W', 'C', 'F') ('O', 'S', 'I', 'N', 'L', 'D', 'G', 'H', 'M') 3312845393
('A', 'E', 'S', 'T', 'U', 'D', 'F', 'W', 'G') ('O', 'R', 'I', 'N', 'L', 'C', 'P', 'M', 'H') 3312844264
('A', 'O', 'H', 'E', 'D', 'L', 'P', 'U', 'G') ('S', 'T', 'I', 'N', 'M', 'C', 'F', 'R', 'W') 3312571729
('O', 'T', 'E', 'R', 'P', 'F', 'G', 'D', 'C') ('A', 'S', 'I', 'N', 'L', 'U', 'W', 'H', 'M') 3312263647
('A', 'T', 'H', 'E', 'G', 'D', 'F', 'W', 'U') ('O', 'S', 'I', 'N', 'C', 'R', 'P', 'L', 'M') 3312169042
('O', 'E', 'T', 'H', 'U', 'C', 'G', 'F', 'L') ('A', 'S', 'I', 'N', 'D', 'M', 'P', 'R', 'W') 3312147294
('T', 'S', 'E', 'R', 'C', 'F', 'G', 'L', 'W') ('A', 'O', 'I', 'N', 'D', 'U', 'P', 'M', 'H') 3312142781
('A', 'T', 'H', 'E', 'M', 'D', 'C', 'U', 'F') ('O', 'S', 'I', 'N', 'L', 'G', 'P', 'R', 'W') 3312113893
('O', 'A', 'T', 'E', 'F', 'C', 'P', 'W', 'G') ('R', 'S', 'I', 'N', 'D', 'U', 'H', 'L', 'M') 3311908521
('O', 'T', 'H', 'E', 'C', 'L', 'M', 'W', 'G') ('A', 'S', 'I', 'N', 'D', 'U', 'P', 'R', 'F') 3311596942
('O', 'T', 'H', 'E', 'M', 'D', 'C', 'F', 'G') ('A', 'S', 'I', 'N', 'L', 'U', 'P', 'R', 'W') 3311503161
('A', 'O', 'E', 'R', 'D', 'U', 'G', 'C', 'W') ('S', 'T', 'I', 'N', 'P', 'H', 'F', 'L', 'M') 3311364355
('O', 'T', 'E', 'S', 'M', 'W', 'G', 'L', 'C') ('A', 'R', 'I', 'N', 'D', 'U', 'P', 'H', 'F') 3311156088
('A', 'T', 'H', 'E', 'L', 'D', 'F', 'G', 'U') ('O', 'S', 'I', 'N', 'M', 'C', 'P', 'R', 'W') 3310911112
('O', 'T', 'E', 'R', 'M', 'W', 'G', 'D', 'L') ('A', 'S', 'I', 'N', 'C', 'U', 'P', 'H', 'F') 3310853621
('O', 'S', 'E', 'R', 'D', 'U', 'W', 'C', 'L') ('A', 'T', 'I', 'N', 'G', 'H', 'P', 'M', 'F') 3310752531
('A', 'T', 'H', 'E', 'M', 'L', 'D', 'G', 'F') ('O', 'S', 'I', 'N', 'C', 'U', 'P', 'R', 'W') 3310219478
('A', 'T', 'H', 'E', 'P', 'L', 'D', 'G', 'F') ('O', 'S', 'I', 'N', 'C', 'U', 'W', 'R', 'M') 3310171484
('T', 'S', 'E', 'R', 'D', 'F', 'G', 'C', 'M') ('A', 'O', 'I', 'N', 'L', 'U', 'W', 'H', 'P') 3309965467
('S', 'T', 'E', 'R', 'M', 'U', 'W', 'L', 'C') ('A', 'O', 'I', 'N', 'D', 'G', 'P', 'F', 'H') 3309940894
('A', 'T', 'E', 'R', 'P', 'U', 'F', 'D', 'G') ('O', 'S', 'I', 'N', 'L', 'C', 'W', 'H', 'M') 3309918149
('O', 'T', 'H', 'E', 'C', 'L', 'D', 'W', 'G') ('A', 'S', 'I', 'N', 'M', 'U', 'F', 'R', 'P') 3309656030
('A', 'T', 'E', 'R', 'M', 'U', 'W', 'D', 'F') ('O', 'S', 'I', 'N', 'C', 'G', 'P', 'L', 'H') 3309611369
('A', 'T', 'E', 'R', 'M', 'U', 'W', 'D', 'G') ('O', 'S', 'I', 'N', 'C', 'H', 'P', 'L', 'F') 3309493520
('O', 'E', 'T', 'H', 'U', 'C', 'W', 'M', 'L') ('A', 'S', 'I', 'N', 'D', 'G', 'P', 'R', 'F') 3309471543
('A', 'T', 'H', 'E', 'P', 'L', 'F', 'W', 'U') ('O', 'S', 'I', 'N', 'D', 'G', 'C', 'R', 'M') 3309319585
('O', 'S', 'E', 'R', 'D', 'F', 'G', 'C', 'L') ('A', 'T', 'I', 'N', 'M', 'H', 'U', 'P', 'W') 3309296644
('A', 'O', 'E', 'R', 'D', 'U', 'G', 'M', 'C') ('S', 'T', 'I', 'N', 'W', 'H', 'P', 'L', 'F') 3309292949
('O', 'A', 'T', 'E', 'U', 'D', 'P', 'W', 'G') ('R', 'S', 'I', 'N', 'C', 'H', 'F', 'L', 'M') 3309267053
('O', 'E', 'T', 'H', 'U', 'C', 'P', 'D', 'M') ('A', 'S', 'I', 'N', 'L', 'G', 'F', 'R', 'W') 3309219843
('A', 'T', 'H', 'E', 'L', 'D', 'F', 'W', 'U') ('O', 'S', 'I', 'N', 'C', 'G', 'P', 'R', 'M') 3309184094
('O', 'S', 'E', 'R', 'D', 'P', 'G', 'C', 'L') ('A', 'T', 'I', 'N', 'W', 'H', 'U', 'M', 'F') 3309116431
('O', 'T', 'E', 'R', 'P', 'W', 'G', 'D', 'L') ('A', 'S', 'I', 'N', 'C', 'U', 'F', 'M', 'H') 3309050713
('T', 'S', 'E', 'R', 'D', 'F', 'G', 'L', 'M') ('A', 'O', 'I', 'N', 'C', 'U', 'W', 'H', 'P') 3308967681
('A', 'O', 'H', 'E', 'D', 'L', 'F', 'W', 'U') ('S', 'T', 'I', 'N', 'G', 'C', 'P', 'R', 'M') 3308913469
('A', 'T', 'E', 'S', 'G', 'U', 'W', 'C', 'F') ('O', 'R', 'I', 'N', 'L', 'D', 'P', 'M', 'H') 3308834589
('S', 'T', 'H', 'E', 'M', 'D', 'L', 'U', 'F') ('A', 'O', 'I', 'N', 'G', 'R', 'W', 'C', 'P') 3308663764
('S', 'T', 'E', 'R', 'P', 'F', 'G', 'C', 'L') ('A', 'O', 'I', 'N', 'D', 'U', 'W', 'H', 'M') 3308637700
('A', 'O', 'E', 'S', 'D', 'U', 'G', 'M', 'C') ('R', 'T', 'I', 'N', 'W', 'H', 'P', 'L', 'F') 3308456579
('A', 'O', 'E', 'R', 'D', 'U', 'G', 'C', 'P') ('S', 'T', 'I', 'N', 'W', 'H', 'F', 'L', 'M') 3308425461
('O', 'T', 'E', 'S', 'M', 'U', 'W', 'L', 'G') ('A', 'R', 'I', 'N', 'C', 'D', 'P', 'H', 'F') 3308419197
('S', 'T', 'H', 'E', 'M', 'D', 'L', 'F', 'G') ('O', 'A', 'I', 'N', 'U', 'R', 'W', 'C', 'P') 3308371987
('A', 'O', 'H', 'E', 'D', 'L', 'P', 'U', 'F') ('S', 'T', 'I', 'N', 'M', 'G', 'C', 'R', 'W') 3307963661
('S', 'T', 'E', 'R', 'M', 'U', 'G', 'L', 'C') ('A', 'O', 'I', 'N', 'D', 'F', 'W', 'H', 'P') 3307591999
('A', 'T', 'H', 'E', 'G', 'L', 'D', 'W', 'U') ('O', 'S', 'I', 'N', 'C', 'F', 'P', 'R', 'M') 3307573728
('A', 'O', 'E', 'R', 'D', 'U', 'F', 'C', 'W') ('S', 'T', 'I', 'N', 'G', 'H', 'P', 'L', 'M') 3307498739
('O', 'A', 'H', 'E', 'F', 'D', 'C', 'U', 'G') ('S', 'T', 'I', 'N', 'P', 'R', 'W', 'L', 'M') 3307484408
('O', 'T', 'E', 'R', 'M', 'F', 'G', 'L', 'C') ('A', 'S', 'I', 'N', 'D', 'U', 'W', 'H', 'P') 3306689577
('A', 'O', 'H', 'E', 'C', 'D', 'P', 'U', 'G') ('S', 'T', 'I', 'N', 'M', 'R', 'W', 'L', 'F') 3306664629
('A', 'T', 'E', 'R', 'M', 'G', 'F', 'L', 'W') ('O', 'S', 'I', 'N', 'D', 'U', 'C', 'H', 'P') 3306548394
('A', 'O', 'H', 'E', 'D', 'L', 'C', 'F', 'G') ('S', 'T', 'I', 'N', 'M', 'U', 'P', 'R', 'W') 3306422498
('A', 'T', 'H', 'E', 'C', 'L', 'F', 'G', 'P') ('S', 'O', 'I', 'N', 'D', 'U', 'W', 'R', 'M') 3306112376
('A', 'E', 'S', 'T', 'U', 'D', 'F', 'P', 'G') ('O', 'R', 'I', 'N', 'L', 'C', 'W', 'H', 'M') 3306061551
('A', 'T', 'H', 'E', 'M', 'D', 'P', 'U', 'G') ('O', 'S', 'I', 'N', 'C', 'R', 'W', 'L', 'F') 3306026773
('A', 'T', 'E', 'R', 'M', 'U', 'W', 'C', 'G') ('O', 'S', 'I', 'N', 'D', 'F', 'P', 'L', 'H') 3305340619
('O', 'T', 'H', 'E', 'M', 'D', 'P', 'U', 'G') ('A', 'S', 'I', 'N', 'L', 'C', 'F', 'R', 'W') 3305286283
('A', 'O', 'E', 'S', 'D', 'U', 'W', 'C', 'F') ('R', 'T', 'I', 'N', 'G', 'H', 'P', 'L', 'M') 3305238438
('O', 'T', 'H', 'E', 'C', 'D', 'P', 'F', 'G') ('A', 'S', 'I', 'N', 'L', 'U', 'W', 'R', 'M') 3305237054
('O', 'T', 'E', 'R', 'P', 'F', 'G', 'C', 'L') ('A', 'S', 'I', 'N', 'D', 'U', 'W', 'H', 'M') 3304916014
('O', 'E', 'S', 'T', 'U', 'D', 'W', 'C', 'G') ('A', 'R', 'I', 'N', 'L', 'P', 'F', 'H', 'M') 3304612908
('O', 'T', 'H', 'E', 'M', 'D', 'L', 'C', 'G') ('A', 'S', 'I', 'N', 'F', 'U', 'P', 'R', 'W') 3304578899
('A', 'T', 'E', 'R', 'M', 'U', 'F', 'D', 'G') ('O', 'S', 'I', 'N', 'C', 'H', 'P', 'L', 'W') 3304542142
('O', 'T', 'H', 'E', 'P', 'L', 'M', 'U', 'G') ('A', 'S', 'I', 'N', 'D', 'C', 'F', 'R', 'W') 3304317101
('A', 'S', 'T', 'E', 'D', 'C', 'P', 'F', 'G') ('O', 'R', 'I', 'N', 'L', 'U', 'W', 'H', 'M') 3303959325
('A', 'O', 'H', 'E', 'D', 'L', 'C', 'U', 'W') ('S', 'T', 'I', 'N', 'G', 'P', 'F', 'R', 'M') 3303952371
('A', 'T', 'E', 'S', 'M', 'U', 'W', 'C', 'F') ('O', 'R', 'I', 'N', 'L', 'D', 'G', 'H', 'P') 3303723027
('A', 'T', 'E', 'S', 'P', 'U', 'W', 'C', 'F') ('O', 'R', 'I', 'N', 'L', 'D', 'G', 'H', 'M') 3303157121
('A', 'O', 'H', 'E', 'D', 'L', 'G', 'U', 'W') ('T', 'S', 'I', 'N', 'C', 'P', 'F', 'R', 'M') 3303079652
('A', 'O', 'H', 'E', 'D', 'L', 'C', 'G', 'P') ('S', 'T', 'I', 'N', 'M', 'U', 'F', 'R', 'W') 3302682981
('O', 'T', 'H', 'E', 'W', 'D', 'L', 'F', 'G') ('A', 'S', 'I', 'N', 'C', 'U', 'P', 'R', 'M') 3302627886
('A', 'T', 'E', 'R', 'P', 'G', 'W', 'D', 'C') ('O', 'S', 'I', 'N', 'L', 'U', 'F', 'H', 'M') 3302336163
('A', 'T', 'H', 'E', 'C', 'D', 'P', 'U', 'W') ('O', 'S', 'I', 'N', 'F', 'R', 'G', 'L', 'M') 3302030305
('E', 'S', 'T', 'H', 'L', 'C', 'G', 'F', 'M') ('A', 'O', 'I', 'N', 'D', 'U', 'P', 'R', 'W') 3302004723
('A', 'T', 'H', 'E', 'L', 'D', 'F', 'W', 'G') ('O', 'S', 'I', 'N', 'C', 'U', 'P', 'R', 'M') 3301863427
('A', 'O', 'R', 'E', 'D', 'L', 'G', 'U', 'W') ('S', 'T', 'I', 'N', 'C', 'H', 'P', 'M', 'F') 3301638699
('O', 'E', 'T', 'H', 'U', 'C', 'P', 'D', 'F') ('A', 'S', 'I', 'N', 'L', 'G', 'M', 'R', 'W') 3301472191
('O', 'I', 'T', 'E', 'U', 'C', 'P', 'W', 'G') ('S', 'R', 'A', 'N', 'L', 'D', 'F', 'H', 'M') 3301249403
('A', 'T', 'H', 'E', 'C', 'L', 'M', 'U', 'G') ('O', 'S', 'I', 'N', 'D', 'F', 'P', 'R', 'W') 3300518050
('T', 'S', 'E', 'R', 'C', 'U', 'F', 'L', 'W') ('A', 'O', 'I', 'N', 'D', 'G', 'P', 'M', 'H') 3299944128
('A', 'T', 'E', 'R', 'M', 'U', 'F', 'L', 'W') ('O', 'S', 'I', 'N', 'D', 'G', 'C', 'H', 'P') 3299921115
('O', 'T', 'E', 'R', 'M', 'F', 'G', 'D', 'C') ('A', 'S', 'I', 'N', 'L', 'U', 'W', 'H', 'P') 3299895106
('T', 'S', 'E', 'R', 'C', 'U', 'F', 'L', 'G') ('A', 'O', 'I', 'N', 'D', 'W', 'P', 'M', 'H') 3299835077
('A', 'N', 'H', 'E', 'L', 'D', 'M', 'U', 'F') ('O', 'I', 'S', 'T', 'P', 'R', 'W', 'C', 'G') 3299550112
('O', 'E', 'S', 'T', 'U', 'D', 'G', 'C', 'P') ('A', 'R', 'I', 'N', 'L', 'M', 'W', 'H', 'F') 3299539240
('E', 'S', 'T', 'H', 'D', 'C', 'P', 'L', 'G') ('O', 'A', 'I', 'N', 'U', 'R', 'W', 'M', 'F') 3299373952
('A', 'T', 'E', 'R', 'P', 'U', 'F', 'L', 'W') ('O', 'S', 'I', 'N', 'D', 'G', 'C', 'H', 'M') 3299179578
('O', 'S', 'E', 'R', 'D', 'W', 'G', 'L', 'C') ('A', 'T', 'I', 'N', 'M', 'H', 'U', 'P', 'F') 3298969285
('A', 'O', 'E', 'R', 'D', 'U', 'W', 'M', 'C') ('S', 'T', 'I', 'N', 'G', 'H', 'P', 'L', 'F') 3298640224
('O', 'T', 'H', 'E', 'W', 'L', 'M', 'U', 'G') ('A', 'S', 'I', 'N', 'D', 'C', 'P', 'R', 'F') 3298637551
('O', 'T', 'E', 'R', 'M', 'F', 'G', 'L', 'W') ('A', 'S', 'I', 'N', 'D', 'U', 'C', 'H', 'P') 3298334426
('A', 'T', 'H', 'E', 'C', 'L', 'M', 'U', 'F') ('O', 'S', 'I', 'N', 'D', 'G', 'P', 'R', 'W') 3298252436
('O', 'E', 'S', 'T', 'F', 'D', 'G', 'C', 'W') ('A', 'R', 'I', 'N', 'L', 'U', 'P', 'M', 'H') 3298133421
('A', 'O', 'E', 'R', 'D', 'U', 'W', 'C', 'P') ('S', 'T', 'I', 'N', 'G', 'H', 'F', 'L', 'M') 3298089328
('A', 'T', 'E', 'R', 'P', 'G', 'F', 'D', 'C') ('O', 'S', 'I', 'N', 'L', 'U', 'W', 'H', 'M') 3297861829
('O', 'A', 'T', 'E', 'F', 'C', 'G', 'U', 'W') ('S', 'R', 'I', 'N', 'H', 'D', 'P', 'L', 'M') 3297852688
