[('A', 'E', 'S', 'T', 'U', 'D', 'F', 'C', 'G', 'B'), 688783762.1000003] 
[('A', 'S', 'T', 'E', 'D', 'C', 'B', 'U', 'F', 'G'), 643082974.7000003] 
[('A', 'T', 'E', 'S', 'D', 'U', 'C', 'F', 'B', 'G'), 642829255.5499997] 
[('A', 'T', 'E', 'S', 'D', 'U', 'C', 'B', 'G', 'F'), 642773551.7500001] 
[('E', 'S', 'A', 'T', 'D', 'U', 'G', 'C', 'F', 'B'), 642661111.9500004] 
[('E', 'A', 'S', 'T', 'U', 'C', 'D', 'G', 'F', 'B'), 642659391.2999998] 
[('A', 'T', 'E', 'S', 'B', 'U', 'G', 'D', 'F', 'C'), 642529235.0499998] 
[('A', 'E', 'S', 'T', 'U', 'F', 'C', 'D', 'B', 'G'), 642392648.9999998] 
[('E', 'A', 'S', 'T', 'U', 'C', 'B', 'D', 'F', 'G'), 642267785.8999996] 
[('A', 'E', 'S', 'T', 'U', 'F', 'G', 'D', 'C', 'B'), 642244962.7] 
[('A', 'E', 'S', 'T', 'U', 'C', 'F', 'B', 'G', 'D'), 642072753.8500003] 
[('E', 'A', 'S', 'T', 'U', 'C', 'F', 'G', 'B', 'D'), 641752831.1] 
[('A', 'T', 'E', 'S', 'D', 'U', 'C', 'F', 'G', 'B'), 641740125.4499996] 
[('E', 'A', 'S', 'T', 'U', 'C', 'D', 'B', 'F', 'G'), 641597137.1999999] 
[('A', 'T', 'E', 'S', 'D', 'U', 'C', 'B', 'F', 'G'), 641337182.4499999] 
[('E', 'A', 'S', 'T', 'U', 'C', 'F', 'B', 'G', 'D'), 641218671.5000001] 
[('A', 'T', 'E', 'S', 'D', 'U', 'C', 'G', 'F', 'B'), 641162205.0499997] 
[('A', 'E', 'S', 'T', 'U', 'F', 'D', 'C', 'G', 'B'), 641087660.0000001] 
[('E', 'A', 'S', 'T', 'U', 'C', 'G', 'F', 'D', 'B'), 640949557.5999999] 
[('E', 'A', 'S', 'T', 'U', 'C', 'D', 'F', 'B', 'G'), 640893925.9999999] 
[('A', 'T', 'E', 'S', 'C', 'U', 'G', 'B', 'D', 'F'), 640845254.5999999] 
[('A', 'E', 'S', 'T', 'U', 'G', 'F', 'D', 'C', 'B'), 640676053.7500001] 
[('A', 'T', 'E', 'S', 'D', 'F', 'U', 'B', 'C', 'G'), 640493825.4499998] 
[('A', 'T', 'E', 'S', 'D', 'U', 'B', 'G', 'F', 'C'), 640452341.0499997] 
[('A', 'T', 'E', 'S', 'D', 'U', 'B', 'F', 'G', 'C'), 640401344.6499995] 
[('A', 'T', 'E', 'S', 'G', 'U', 'F', 'D', 'B', 'C'), 640312813.6] 
[('A', 'T', 'E', 'S', 'D', 'F', 'U', 'G', 'C', 'B'), 640260691.9499998] 
[('A', 'E', 'S', 'T', 'F', 'D', 'U', 'C', 'G', 'B'), 640034468.1500001] 
[('E', 'A', 'S', 'T', 'U', 'C', 'D', 'G', 'B', 'F'), 639893321.6999999] 
[('E', 'S', 'A', 'T', 'D', 'F', 'U', 'G', 'C', 'B'), 639768960.15] 
[('A', 'T', 'E', 'S', 'C', 'U', 'G', 'F', 'D', 'B'), 639738265.5999997] 
[('E', 'A', 'S', 'T', 'F', 'D', 'U', 'C', 'G', 'B'), 639696951.1500003] 
[('A', 'E', 'S', 'T', 'U', 'C', 'B', 'F', 'D', 'G'), 639494571.2499999] 
[('A', 'T', 'E', 'S', 'B', 'U', 'F', 'C', 'G', 'D'), 638532895.5499998] 
[('A', 'T', 'E', 'S', 'B', 'U', 'F', 'G', 'D', 'C'), 638493122.2500001] 
[('E', 'A', 'S', 'T', 'U', 'D', 'B', 'F', 'G', 'C'), 637719473.2999995] 
[('A', 'T', 'E', 'S', 'D', 'G', 'U', 'C', 'B', 'F'), 637671857.7999998] 
[('A', 'T', 'E', 'S', 'G', 'U', 'F', 'C', 'D', 'B'), 637655390.8999999] 
[('E', 'A', 'S', 'T', 'U', 'C', 'G', 'B', 'D', 'F'), 637526804.0999999] 
[('E', 'S', 'A', 'T', 'D', 'F', 'U', 'B', 'C', 'G'), 637436287.1499997] 
[('A', 'E', 'S', 'T', 'F', 'D', 'U', 'C', 'B', 'G'), 637301348.5499998] 
[('A', 'E', 'S', 'T', 'U', 'C', 'B', 'G', 'D', 'F'), 637055706.9500002] 
[('A', 'E', 'S', 'T', 'U', 'F', 'B', 'D', 'C', 'G'), 636881288.5999999] 
[('A', 'E', 'S', 'T', 'U', 'F', 'D', 'C', 'B', 'G'), 636761554.4] 
[('S', 'E', 'A', 'T', 'U', 'D', 'F', 'G', 'C', 'B'), 636700407.6000001] 
[('E', 'S', 'A', 'T', 'D', 'U', 'G', 'F', 'C', 'B'), 636551033.7500001] 
[('E', 'A', 'S', 'T', 'U', 'D', 'B', 'G', 'F', 'C'), 636510851.2999995] 
[('A', 'T', 'E', 'S', 'D', 'F', 'U', 'B', 'G', 'C'), 636457988.4500003] 
[('A', 'T', 'E', 'S', 'D', 'B', 'U', 'C', 'F', 'G'), 636407001.7499999] 
[('A', 'E', 'S', 'T', 'U', 'F', 'G', 'C', 'D', 'B'), 636030218.1] 
[('A', 'S', 'T', 'E', 'C', 'D', 'B', 'F', 'U', 'G'), 636021526.0999995] 
[('E', 'A', 'S', 'T', 'F', 'D', 'U', 'C', 'B', 'G'), 635925048.4499997] 
[('T', 'A', 'E', 'S', 'D', 'U', 'F', 'C', 'B', 'G'), 635658286.0499998] 
[('A', 'T', 'E', 'S', 'B', 'U', 'C', 'D', 'G', 'F'), 635351289.2500002] 
[('E', 'S', 'A', 'T', 'C', 'U', 'F', 'G', 'D', 'B'), 635245621.9] 
[('A', 'S', 'T', 'E', 'C', 'D', 'B', 'F', 'G', 'U'), 635226786.9999995] 
[('A', 'S', 'T', 'E', 'C', 'D', 'B', 'G', 'U', 'F'), 634992437.7999996] 
[('E', 'A', 'S', 'T', 'U', 'G', 'F', 'D', 'C', 'B'), 634765378.1000004] 
[('E', 'S', 'A', 'T', 'D', 'U', 'G', 'B', 'C', 'F'), 634764133.55] 
[('A', 'T', 'E', 'S', 'C', 'U', 'F', 'G', 'B', 'D'), 634452156.2999998] 
[('A', 'T', 'E', 'S', 'C', 'U', 'F', 'B', 'G', 'D'), 634426141.9999998] 
[('T', 'A', 'E', 'S', 'D', 'U', 'F', 'C', 'G', 'B'), 634425524.4500002] 
[('E', 'A', 'S', 'T', 'U', 'F', 'C', 'D', 'G', 'B'), 634197270.5] 
[('A', 'S', 'T', 'E', 'C', 'D', 'B', 'G', 'F', 'U'), 634157399.5999997] 
[('A', 'E', 'S', 'T', 'U', 'B', 'F', 'D', 'C', 'G'), 633834726.1000001] 
[('A', 'S', 'T', 'E', 'D', 'C', 'B', 'F', 'U', 'G'), 633778601.3999997] 
[('A', 'E', 'S', 'T', 'U', 'F', 'G', 'D', 'B', 'C'), 633770440.9000001] 
[('A', 'E', 'S', 'T', 'U', 'C', 'G', 'F', 'B', 'D'), 633733151.35] 
[('A', 'T', 'E', 'S', 'D', 'F', 'U', 'G', 'B', 'C'), 633619410.7500001] 
[('A', 'T', 'E', 'S', 'B', 'U', 'C', 'D', 'F', 'G'), 633587093.65] 
[('E', 'S', 'A', 'T', 'D', 'F', 'U', 'B', 'G', 'C'), 633531004.4499998] 
[('A', 'T', 'E', 'S', 'D', 'B', 'U', 'C', 'G', 'F'), 633384994.95] 
[('A', 'E', 'S', 'T', 'U', 'G', 'F', 'C', 'D', 'B'), 633218691.35] 
[('A', 'T', 'E', 'S', 'D', 'C', 'U', 'B', 'F', 'G'), 633202071.3] 
[('S', 'E', 'A', 'T', 'U', 'D', 'F', 'B', 'C', 'G'), 633183459.5999999] 
[('E', 'S', 'A', 'T', 'C', 'D', 'U', 'G', 'F', 'B'), 633167693.5999999] 
[('A', 'T', 'E', 'S', 'C', 'F', 'U', 'D', 'G', 'B'), 633146493.0999999] 
[('A', 'E', 'S', 'T', 'U', 'F', 'D', 'G', 'C', 'B'), 633075237.3000001] 
[('T', 'E', 'A', 'S', 'U', 'D', 'F', 'C', 'G', 'B'), 632951680.1000006] 
[('A', 'T', 'E', 'S', 'D', 'C', 'U', 'G', 'F', 'B'), 632941253.4999996] 
[('E', 'S', 'A', 'T', 'C', 'U', 'F', 'B', 'D', 'G'), 632836032.1999998] 
[('A', 'S', 'T', 'E', 'D', 'C', 'B', 'G', 'U', 'F'), 632819479.9999999] 
[('A', 'E', 'S', 'T', 'U', 'G', 'F', 'D', 'B', 'C'), 632763460.7500001] 
[('T', 'E', 'A', 'S', 'U', 'D', 'F', 'C', 'B', 'G'), 632659577.4000003] 
[('E', 'A', 'S', 'T', 'U', 'F', 'D', 'C', 'G', 'B'), 632627200.0000002] 
[('A', 'S', 'T', 'E', 'C', 'D', 'G', 'U', 'B', 'F'), 632485367.1999998] 
[('A', 'S', 'T', 'E', 'D', 'C', 'B', 'F', 'G', 'U'), 632436931.9999996] 
[('A', 'E', 'S', 'T', 'U', 'F', 'D', 'B', 'C', 'G'), 632431104.6] 
[('E', 'A', 'S', 'T', 'U', 'F', 'G', 'D', 'C', 'B'), 632351833.1000003] 
[('E', 'A', 'S', 'T', 'F', 'D', 'C', 'U', 'G', 'B'), 632274952.1500003] 
[('A', 'T', 'E', 'S', 'G', 'U', 'B', 'D', 'C', 'F'), 632037625.1999999] 
[('E', 'A', 'S', 'T', 'F', 'D', 'U', 'G', 'C', 'B'), 632034810.4500002] 
[('E', 'S', 'A', 'T', 'D', 'F', 'U', 'G', 'B', 'C'), 631901029.0499995] 
[('A', 'E', 'S', 'T', 'F', 'D', 'C', 'U', 'G', 'B'), 631657856.3500001] 
[('A', 'T', 'E', 'S', 'C', 'U', 'B', 'G', 'D', 'F'), 631602792.3999999] 
[('T', 'A', 'E', 'S', 'D', 'U', 'G', 'C', 'B', 'F'), 631568763.15] 
[('A', 'S', 'T', 'E', 'D', 'C', 'B', 'G', 'F', 'U'), 631558415.9999999] 
[('A', 'S', 'T', 'E', 'C', 'D', 'G', 'U', 'F', 'B'), 631474857.8000001] 
[('E', 'A', 'S', 'T', 'U', 'F', 'C', 'D', 'B', 'G'), 631460736.2999997] 
[('A', 'T', 'E', 'S', 'B', 'U', 'F', 'G', 'C', 'D'), 631359814.0500001] 
[('E', 'S', 'A', 'T', 'C', 'D', 'U', 'B', 'F', 'G'), 631265740.7999998] 
[('A', 'E', 'S', 'T', 'F', 'D', 'U', 'G', 'C', 'B'), 631201698.6499999] 
[('E', 'A', 'S', 'T', 'U', 'C', 'G', 'F', 'B', 'D'), 631177457.7999998] 
[('A', 'T', 'E', 'S', 'D', 'G', 'U', 'B', 'C', 'F'), 631165314.7999998] 
[('E', 'S', 'A', 'T', 'D', 'U', 'B', 'C', 'G', 'F'), 631067177.0500002] 
[('A', 'E', 'S', 'T', 'F', 'D', 'C', 'U', 'B', 'G'), 630748593.9499999] 
[('E', 'S', 'A', 'T', 'C', 'F', 'U', 'D', 'G', 'B'), 630679736.4] 
[('A', 'T', 'E', 'S', 'C', 'U', 'B', 'F', 'D', 'G'), 630552725.3999995] 
[('E', 'A', 'S', 'T', 'F', 'D', 'C', 'U', 'B', 'G'), 630326906.6499997] 
[('A', 'T', 'E', 'S', 'D', 'G', 'U', 'B', 'F', 'C'), 630287440.0000001] 
[('E', 'A', 'S', 'T', 'F', 'D', 'U', 'B', 'C', 'G'), 630146200.15] 
[('A', 'T', 'E', 'S', 'B', 'U', 'G', 'F', 'D', 'C'), 630114633.25] 
[('E', 'A', 'S', 'T', 'D', 'C', 'G', 'U', 'F', 'B'), 630107922.9500002] 
[('A', 'E', 'S', 'T', 'U', 'F', 'B', 'D', 'G', 'C'), 630104517.8999999] 
[('E', 'S', 'A', 'T', 'D', 'U', 'G', 'F', 'B', 'C'), 630094660.9499996] 
[('A', 'E', 'S', 'T', 'U', 'F', 'C', 'G', 'D', 'B'), 630086357.1999998] 
[('E', 'T', 'A', 'S', 'D', 'U', 'F', 'C', 'B', 'G'), 629967690.1499995] 
[('A', 'T', 'E', 'S', 'D', 'C', 'U', 'B', 'G', 'F'), 629942834.9000001] 
[('A', 'E', 'S', 'T', 'U', 'C', 'G', 'B', 'F', 'D'), 629919279.5500001] 
[('E', 'A', 'S', 'T', 'U', 'C', 'B', 'F', 'D', 'G'), 629854117.3999996] 
[('E', 'A', 'S', 'T', 'U', 'C', 'B', 'G', 'D', 'F'), 629836991.9999998] 
[('A', 'T', 'E', 'S', 'C', 'F', 'U', 'D', 'B', 'G'), 629802489.6999998] 
[('E', 'T', 'A', 'S', 'D', 'U', 'F', 'C', 'G', 'B'), 629764630.75] 
[('A', 'E', 'S', 'T', 'F', 'D', 'U', 'B', 'C', 'G'), 629758894.05] 
[('E', 'S', 'A', 'T', 'D', 'U', 'B', 'C', 'F', 'G'), 629735345.1500001] 
[('A', 'S', 'T', 'E', 'D', 'C', 'G', 'U', 'B', 'F'), 629400243.6999999] 
[('A', 'E', 'S', 'T', 'U', 'G', 'C', 'D', 'F', 'B'), 629295900.7499996] 
[('E', 'S', 'A', 'T', 'F', 'D', 'U', 'C', 'G', 'B'), 629244172.4500003] 
[('E', 'A', 'S', 'T', 'U', 'C', 'G', 'B', 'F', 'D'), 629065197.1999999] 
[('E', 'A', 'S', 'T', 'D', 'C', 'F', 'U', 'G', 'B'), 628894398.4500002] 
[('E', 'S', 'A', 'T', 'D', 'C', 'U', 'G', 'F', 'B'), 628844597.7500001] 
[('E', 'A', 'S', 'T', 'U', 'G', 'F', 'C', 'D', 'B'), 628740685.3000002] 
[('A', 'S', 'T', 'E', 'D', 'C', 'G', 'U', 'F', 'B'), 628582975.1000001] 
[('E', 'S', 'A', 'T', 'C', 'D', 'U', 'B', 'G', 'F'), 628399197.4999999] 
[('S', 'E', 'A', 'T', 'U', 'D', 'G', 'C', 'B', 'F'), 628391323.1000001] 
[('E', 'A', 'S', 'T', 'D', 'C', 'G', 'U', 'B', 'F'), 628382769.7499996] 
[('A', 'E', 'S', 'T', 'U', 'G', 'D', 'C', 'F', 'B'), 628328929.4499999] 
[('S', 'E', 'A', 'T', 'U', 'D', 'G', 'C', 'F', 'B'), 628289975.9000002] 
[('A', 'E', 'S', 'T', 'U', 'G', 'C', 'D', 'B', 'F'), 628270683.7499999] 
[('E', 'S', 'A', 'T', 'C', 'U', 'F', 'G', 'B', 'D'), 628237002.0999999] 
[('A', 'T', 'E', 'S', 'B', 'U', 'G', 'C', 'F', 'D'), 628167838.0499998] 
[('E', 'A', 'S', 'T', 'U', 'B', 'F', 'D', 'C', 'G'), 628144808.0000002] 
[('E', 'A', 'S', 'T', 'F', 'D', 'G', 'U', 'C', 'B'), 628131924.0500004] 
[('A', 'E', 'S', 'T', 'U', 'C', 'B', 'F', 'G', 'D'), 627865075.8499999] 
[('A', 'T', 'E', 'S', 'D', 'G', 'U', 'F', 'C', 'B'), 627723472.2999996] 
[('E', 'A', 'S', 'T', 'U', 'F', 'G', 'C', 'D', 'B'), 627569758.1000001] 
[('A', 'E', 'S', 'T', 'G', 'D', 'U', 'C', 'F', 'B'), 627519189.5500001] 
[('A', 'E', 'S', 'T', 'F', 'D', 'G', 'U', 'C', 'B'), 627514828.2500001] 
